species	state
Lathrocasis_tenerrima	0
Saltugilia_australis	0
Ipomopsis_polycladon	0
Bryantiella_palmeri	0
Eriastrum_eremicum	0
Loeseliastrum_depressum	0
Langloisia_setosissima	0
Microgilia_minutiflora	0
Dayia_grantii	0
Aliciella_micromeria	0
Giliastrum_purpusii	0
Cantua_pyrifolia	0
Cobaea_scandens	0
Bonplandia_geminiflora	0
Acanthogilia_gloriosa	0
Fouquieria_diguetii	0
Echinopsis_mamillosa	0
Weberbauerocereus_albus	0
Denmoza_rhodacantha	0
Harrisia_adscendens	0
Cephalocleistocactus_ritteri	0
Cleistocactus_laniceps	0
Espostoa_guentheri	0
Samaipaticereus_corroanus	0
Borzicactus_samaipatanus	0
Yungasocereus_inquisivensis	0
Eulychnia_coquimbana	0
Arthrocereus_glaziovii	0
Gymnocalycium_saglionis	0
Haageocereus_decumbens	0
Pygmaeocereus_bylesianus	0
Oreocereus_trollii	0
Mila_caespitosa	0
Matucana_aurantiaca	0
Oroya_peruviana	0
Rauhocereus_riosaniensis	0
Espostoopsis_dybowskii	0
Acanthocalycium_leucanthum	0
Aylostera_deminuta	0
Rebutia_minuscula	0
Weingartia_margarethae	0
Pilosocereus_royenii	0
Discocactus_zehntneri	0
Cereus_hankeanus	0
Cipocereus_minensis	0
Praecereus_saxicola	0
Melocactus_zehntneri	0
Arrojadoa_rhodantha	0
Coleocephalocereus_fluminensis	0
Brasilicereus_markgrafii	0
Stetsonia_coryne	0
Browningia_chlorocarpa	0
Uebelmannia_pectinifera	0
Facheiroa_ulei	0
Leocereus_bahiensis	0
Lasiocereus_rupicola	0
Eriosyce_curvispina	0
Parodia_magnifica	0
Neowerdermannia_vorwerkii	0
Frailea_pumila	0
Copiapoa_solaris	0
Echinocereus_nicholii	0
Stenocereus_eruca	0
Escontria_chiotilla	0
Myrtillocactus_schenckii	0
Polaskia_chende	0
Carnegiea_gigantea	0
Pachycereus_hollianus	0
Peniocereus_striatus	0
Cephalocereus_nizandensis	0
Neobuxbaumia_mezcalaensis	0
Bergerocactus_emoryi	0
Armatocereus_procerus	0
Selenicereus_grandiflorus	0
Strophocactus_wittii	0
Deamia_chontalensis	0
Weberocereus_glaber	0
Pseudorhipsalis_amazonica	0
Disocactus_speciosus	0
Aporocactus_flagelliformis	0
Epiphyllum_phyllanthus	0
Acanthocereus_oaxacensis	0
Neoraimondia_arequipensis	0
Leptocereus_leonii	0
Corryocactus_apiciflorus	0
Pfeiffera_monacantha	0
Austrocactus_bertinii	0
Rhipsalis_paradoxa	0
Schlumbergera_russeliana	0
Hatiora_rosea	0
Lepismium_cruciforme	0
Lymanbensonia_incachacana	0
Calymmanthium_substerile	0
Mammilloydia_candida	0
Mammillaria_carretii	0
Neolloydia_conoidea	0
Ortegocactus_macdougallii	0
Coryphantha_salinensis	0
Escobaria_vivipara	0
Pelecyphora_strobiliformis	0
Cumarinia_odorata	0
Rapicactus_mandragora	0
Acharagma_aguirreana	0
Lophophora_diffusa	0
Obregonia_denegrii	0
Epithelantha_micromeris	0
Turbinicarpus_laui	0
Kadenicarpus_pseudomacrochele	0
Strombocactus_disciformis	0
Ariocarpus_scaphirostris	0
Ferocactus_echidne	0
Thelocactus_macdowellii	0
Stenocactus_multicostatus	0
Sclerocactus_uncinatus	0
Leuchtenbergia_principis	0
Pediocactus_simpsonii	0
Echinocactus_parryi	0
Astrophytum_ornatum	0
Aztekium_hintonii	0
Geohintonia_mexicana	0
Blossfeldia_liliputana	0
Maihuenia_poeppigii	0
Tacinga_lilae	0
Brasiliopuntia_schickendantzii	0
Tunilla_corrugata	0
Miqueliopuntia_miquelii	0
Consolea_macracantha	0
Opuntia_anacantha	0
Cumulopuntia_iturbicola	0
Puna_subterranea	0
Austrocylindropuntia_floccosa	0
Punotia_lagopus	0
Tephrocactus_weberi	0
Maihueniopsis_domeykoensis	0
Pterocactus_valentinii	0
Cylindropuntia_bigelowii	0
Corynopuntia_invicta	0
Micropuntia_pulchella	0
Pereskiopsis_aquosa	0
Quiabentia_verticillata	0
Pereskia_grandifolia	0
Anacampseros_marlothii	0
Avonia_albissima	0
Grahamia_bracteata	0
Portulaca_bicolor	0
Talinum_paniculatum	0
Talinella_pachypoda	0
Alluaudia_comosa	0
Decarya_madagascariensis	0
